title,author,rating,image,url
공포단편선X,김대일,9.74,https://image-comic.pstatic.net/webtoon/753380/thumbnail/thumbnail_IMAG21_7147272215088739427.jpg,/webtoon/list?titleId=753380
데빌카운터,해밀k / 김학영,8.92,https://image-comic.pstatic.net/webtoon/753381/thumbnail/thumbnail_IMAG21_3689066232435663204.jpg,/webtoon/list?titleId=753381
빨강,그냥연어,9.79,https://image-comic.pstatic.net/webtoon/753383/thumbnail/thumbnail_IMAG21_3689120138620528176.JPEG,/webtoon/list?titleId=753383
만찢남녀,님니,9.97,https://image-comic.pstatic.net/webtoon/733274/thumbnail/thumbnail_IMAG21_3847534478888428385.jpg,/webtoon/list?titleId=733274
친애하는 X,반지운,9.97,https://image-comic.pstatic.net/webtoon/730204/thumbnail/thumbnail_IMAG21_4123098665805243238.jpg,/webtoon/list?titleId=730204
11me,고지애 / 영재영,9.88,https://image-comic.pstatic.net/webtoon/740482/thumbnail/thumbnail_IMAG21_7017279137093267812.jpg,/webtoon/list?titleId=740482
천사가 아니야,박유나 / 표류,9.96,https://image-comic.pstatic.net/webtoon/729084/thumbnail/thumbnail_IMAG21_4049641182944375601.jpg,/webtoon/list?titleId=729084
POGO 공포단편선 - 혼집,POGO,9.91,https://image-comic.pstatic.net/webtoon/750198/thumbnail/thumbnail_IMAG21_7076339396414353975.jpg,/webtoon/list?titleId=750198
문래빗,이난,9.97,https://image-comic.pstatic.net/webtoon/710758/thumbnail/thumbnail_IMAG21_3762305813572761654.jpg,/webtoon/list?titleId=710758
꽃 피는 날,두루,9.95,https://image-comic.pstatic.net/webtoon/703841/thumbnail/thumbnail_IMAG21_3847262860878045540.jpg,/webtoon/list?titleId=703841
법대로 사랑하라,일리 / 노승아,9.51,https://image-comic.pstatic.net/webtoon/734011/thumbnail/thumbnail_IMAG21_7147268904457692260.jpg,/webtoon/list?titleId=734011
어글리 피플즈,배사과,9.45,https://image-comic.pstatic.net/webtoon/732953/thumbnail/thumbnail_IMAG21_4122545418233197368.jpg,/webtoon/list?titleId=732953
세대전쟁,까를로스 / 임홍재,9.49,https://image-comic.pstatic.net/webtoon/750580/thumbnail/thumbnail_IMAG21_7233965391204463666.jpg,/webtoon/list?titleId=750580
호야,한큰빛,9.76,https://image-comic.pstatic.net/webtoon/750581/thumbnail/thumbnail_IMAG21_7305464441945022772.jpg,/webtoon/list?titleId=750581
갓도령스,도로롱,9.96,https://image-comic.pstatic.net/webtoon/732255/thumbnail/thumbnail_IMAG21_7003152621128278577.jpg,/webtoon/list?titleId=732255
텃밭부 사건일지,오이츄,9.97,https://image-comic.pstatic.net/webtoon/732259/thumbnail/thumbnail_IMAG21_3559312890209133925.jpg,/webtoon/list?titleId=732259
피와 살,황준호,9.94,https://image-comic.pstatic.net/webtoon/730148/thumbnail/thumbnail_IMAG21_3546415597441135671.jpg,/webtoon/list?titleId=730148
파리대왕,워커,9.75,https://image-comic.pstatic.net/webtoon/750577/thumbnail/thumbnail_IMAG21_3905800859910562406.JPEG,/webtoon/list?titleId=750577
영광의 교실,아니영,9.95,https://image-comic.pstatic.net/webtoon/750578/thumbnail/thumbnail_IMAG21_7233453044508341090.jpg,/webtoon/list?titleId=750578
특수 영능력 수사반,사다함,9.56,https://image-comic.pstatic.net/webtoon/160469/thumbnail/thumbnail_IMAG21_7147604246944691250.jpg,/webtoon/list?titleId=160469
이모네 집에 갔는데 이모는 없고,신해영 / 정우,9.17,https://image-comic.pstatic.net/webtoon/750575/thumbnail/thumbnail_IMAG21_3832899051396018481.jpg,/webtoon/list?titleId=750575
로딩,이지우,9.77,https://image-comic.pstatic.net/webtoon/750576/thumbnail/thumbnail_IMAG21_7148111155359277623.jpg,/webtoon/list?titleId=750576
"대만에서, 너와 하루",수박양,9.96,https://image-comic.pstatic.net/webtoon/749279/thumbnail/thumbnail_IMAG21_3546639902812889653.jpg,/webtoon/list?titleId=749279
니편내편,미티,9.89,https://image-comic.pstatic.net/webtoon/702422/thumbnail/thumbnail_IMAG21_7234296365632009062.jpg,/webtoon/list?titleId=702422
낢이 사는 이야기,서나래,9.92,https://image-comic.pstatic.net/webtoon/752390/thumbnail/thumbnail_IMAG21_3616500697580003890.jpg,/webtoon/list?titleId=752390
귀신이지만 사랑하고 싶어,엔엔 / 오제이,9.95,https://image-comic.pstatic.net/webtoon/735982/thumbnail/thumbnail_IMAG21_3760563088431200307.jpg,/webtoon/list?titleId=735982
좋아하게 해줘,지원 / 예림,9.78,https://image-comic.pstatic.net/webtoon/750572/thumbnail/thumbnail_IMAG21_3487534577272448563.jpg,/webtoon/list?titleId=750572
체인지,진원,8.56,https://image-comic.pstatic.net/webtoon/750573/thumbnail/thumbnail_IMAG21_7365976085834839347.jpg,/webtoon/list?titleId=750573
너에게 하고 싶은 말,정지훈,9.91,https://image-comic.pstatic.net/webtoon/750574/thumbnail/thumbnail_IMAG21_3761411025835930722.jpg,/webtoon/list?titleId=750574
요괴대전,강두식 / 장부규,9.76,https://image-comic.pstatic.net/webtoon/726189/thumbnail/thumbnail_IMAG21_7077234621459477556.jpg,/webtoon/list?titleId=726189
유령극단,LICO,9.93,https://image-comic.pstatic.net/webtoon/732256/thumbnail/thumbnail_IMAG21_3774357582113749349.jpg,/webtoon/list?titleId=732256
하루,오늘,9.82,https://image-comic.pstatic.net/webtoon/733746/thumbnail/thumbnail_IMAG21_4064048093215154486.jpg,/webtoon/list?titleId=733746
킬링타임,혼,9.93,https://image-comic.pstatic.net/webtoon/731063/thumbnail/thumbnail_IMAG21_7233732311871862325.jpg,/webtoon/list?titleId=731063
김왕짱,이난,9.86,https://image-comic.pstatic.net/webtoon/750570/thumbnail/thumbnail_IMAG21_3977632182233938274.jpg,/webtoon/list?titleId=750570
개미잡이,이익수,9.83,https://image-comic.pstatic.net/webtoon/750571/thumbnail/thumbnail_IMAG21_7364010141850678627.jpg,/webtoon/list?titleId=750571
닭강정,박지독,9.73,https://image-comic.pstatic.net/webtoon/734008/thumbnail/thumbnail_IMAG21_3630242376757686372.jpg,/webtoon/list?titleId=734008
머리카락을 뽑으면,이다몽,9.92,https://image-comic.pstatic.net/webtoon/729038/thumbnail/thumbnail_IMAG21_3774634638324215862.jpg,/webtoon/list?titleId=729038
함께 꿈꾸는 세상,유성연,6.31,https://image-comic.pstatic.net/webtoon/746860/thumbnail/thumbnail_IMAG21_3474071250613396578.jpg,/webtoon/list?titleId=746860
그 판타지 세계에서 사는 법,촌장,9.97,https://image-comic.pstatic.net/webtoon/316909/thumbnail/thumbnail_IMAG21_3473513801691247160.jpg,/webtoon/list?titleId=316909
어쩐지 수상하더라,디기사 / 두둥,9.85,https://image-comic.pstatic.net/webtoon/733137/thumbnail/thumbnail_IMAG21_3544953453869937715.jpg,/webtoon/list?titleId=733137
귀전구담,QTT,9.98,https://image-comic.pstatic.net/webtoon/694946/thumbnail/thumbnail_IMAG21_7219613466748924005.jpg,/webtoon/list?titleId=694946
하르모니아,YOON / JINU,9.94,https://image-comic.pstatic.net/webtoon/709732/thumbnail/thumbnail_IMAG21_7077796265729472564.jpg,/webtoon/list?titleId=709732
